,username,B_centrality,team,level
0,SupremeMasterPT,0.387986228089027,red,40
1,zediogopg,0.23739548990258807,blue,40
2,yont87,0.16957768579058136,blue,40
3,simalves,0.12236037577625115,blue,40
4,xCeefour,0.11894120266056168,yellow,36
5,vicliv,0.10140887947828511,blue,39
6,nunesrd,0.08405251352907565,red,40
7,waay2old4this,0.08021992921097833,yellow,40
8,miknu2k14,0.07237003619297568,blue,39
9,untillastone,0.05940070176000691,blue,35
10,thenemo15,0.05565880191329918,blue,38
11,TinaArroyo,0.055232249085609725,red,40
12,EduJMac,0.054573575528445564,red,40
13,SrJMK,0.0519564932607064,red,40
14,vsamji,0.04990470745464986,red,40
15,wofraider,0.04700083542188825,red,39
16,sergioneves86,0.043360896266250136,red,37
17,gracanelo123,0.04282691535237095,red,32
18,naerp2606,0.039233288870779356,red,40
19,tigermarques,0.038319591444002946,red,32
20,s8nm4m,0.0330220603494619,red,30
21,joaoribeirost,0.02510461874875017,yellow,35
22,ravemir,0.024990429054686642,yellow,33
23,t0rqu3,0.024295617404680853,yellow,32
24,tiagoc432,0.022590669101020647,red,40
25,xJAndr4dex,0.022197159565580802,blue,37
26,inesnnogueira,0.02208439479403782,yellow,40
27,Coolbreezexz123,0.02067263106965412,yellow,40
28,TimFagg,0.019077339097212778,yellow,40
29,pemimig,0.01887218045112782,yellow,37
30,Andrejuve93,0.017441187773728054,yellow,40
31,pokeraitt,0.01732156921707699,red,28
32,luissmmiguel,0.016028635732514715,blue,24
33,AzidoAzideAzid3,0.01596692713743866,red,38
34,QueenAnaMar,0.015094328856677719,red,40
35,Goncacorr,0.015094328856677719,blue,38
36,aalberto22,0.01430924939634139,yellow,34
37,rubenmm1812,0.014172932330827068,red,25
38,pjts,0.013323978740609107,yellow,37
39,Zecapi314,0.013265149047690734,red,40
40,pda9891,0.013028980894206935,yellow,40
41,Inessofia99,0.012495765736005112,red,33
42,BrunoPatricio,0.011273190026659594,red,40
43,brurib606,0.009448621553884711,blue,40
44,JohnnyAlbatroz,0.00880952380952373,blue,40
45,Pedrokemon12,0.008700918964076798,yellow,40
46,sup3rfm,0.00841098777851539,blue,40
47,Gu1lhermeSlb904,0.008403498327356316,red,40
48,DurumakiPedruto,0.0066466131532192906,blue,35
49,Pekito10,0.006292027205556509,yellow,40
