date,location,hour_start,hour_end,team,level,username,red_friends,blue_friends,yellow_friends,unk_friends,lat,log
2018-07-05,rugby state,15:27,16:12,yellow,39,GetCisco,,,,1.0,38.751345,-9.162574000000001
2018-07-05,rugby state,15:27,16:12,red,40,SupremeMasterPT,,1.0,,3.0,38.751345,-9.162574000000001
2018-07-05,caixa geral de depósitos,16:11,16:56,yellow,39,CptPina,,,,,38.741729,-9.142627800000001
2018-07-05,caixa geral de depósitos,16:11,16:56,red,40,nunesrd,,,,,38.741729,-9.142627800000001
2018-07-05,cgd building,16:19,17:04,yellow,40,Gtony84,,,,,38.74123529999999,-9.140499499999999
2018-07-05,cgd building,16:19,17:04,yellow,39,CptPina,,,,,38.74123529999999,-9.140499499999999
2018-07-05,cgd building,16:19,17:04,red,40,nunesrd,,,,,38.74123529999999,-9.140499499999999
2018-07-05,casa da moeda,17:41,18:26,red,40,nunesrd,,,,,38.736748799999994,-9.1423021
2018-07-05,casa da moeda,17:41,18:26,red,40,TinaArroyo,,,,,38.736748799999994,-9.1423021
2018-07-05,casa da moeda,17:41,18:26,red,30,BrunoMatos82,,,,,38.736748799999994,-9.1423021
2018-07-05,mundo às costas,17:42,18:27,yellow,40,Gtony84,,,,,38.737503000000004,-9.147725
2018-07-05,mundo às costas,17:42,18:27,red,40,nunesrd,,,,1.0,38.737503000000004,-9.147725
2018-07-05,mundo às costas,17:42,18:27,red,40,TinaArroyo,,,,,38.737503000000004,-9.147725
2018-07-05,mundo às costas,17:42,18:27,red,30,BrunoMatos82,,,,,38.737503000000004,-9.147725
2018-07-05,jardim tristão da silva,19:34,20:19,red,37,vsamji,,,,,38.738384,-9.1247492
2018-07-05,junta de freguesia do campo grande,20:38,21:23,yellow,39,CptPina,,,,,38.757333100000004,-9.1565967
2018-07-05,junta de freguesia do campo grande,20:38,21:23,yellow,39,GetCisco,,,,1.0,38.757333100000004,-9.1565967
2018-07-05,junta de freguesia do campo grande,20:38,21:23,red,40,TinaArroyo,,,,,38.757333100000004,-9.1565967
2018-07-05,junta de freguesia do campo grande,20:38,21:23,red,30,BrunoMatos82,,,,,38.757333100000004,-9.1565967
2018-08-05,alameda fonte monumental,12:10,12:55,yellow,39,pda9891,,,,,38.7373201,-9.1302989
2018-08-05,biblioteca palácio galveias,13:11,13:56,yellow,40,Gtony84,,,,1.0,38.7416049,-9.143854699999999
2018-08-05,d. afonso henriques,16:44,17:29,red,40,SupremeMasterPT,,1.0,,3.0,38.758865500000006,-9.1553356
2018-08-05,d. afonso henriques,16:44,17:29,red,39,naerp2606,,,,,38.758865500000006,-9.1553356
2018-08-05,meal conception,17:08,17:53,red,40,TinaArroyo,,,,,38.75931920000001,-9.1551565
2018-08-05,meal conception,17:08,17:53,red,40,SupremeMasterPT,,,,,38.75931920000001,-9.1551565
