,date,location,hour_start,hour_end,team,level,username,red_friends,blue_friends,yellow_friends,unk_friends,raid_group_x,raid_group_y,raid_group_x.1,raid_group_y.1,raid_group_x.2,raid_group_y.2,lat,log,raid_id
0,2018-07-05,rugby state,15:27,16:12,yellow,39,GetCisco,,,,1.0,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.162574,38.751345,0
1,2018-07-05,rugby state,15:27,16:12,red,40,SupremeMasterPT,,1.0,,3.0,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.162574,38.751345,0
2,2018-07-05,caixa geral de depósitos,16:11,16:56,yellow,39,CptPina,,,,,,,Areeiro,Areeiro,Areeiro,Areeiro,-9.1426278,38.741729,1
3,2018-07-05,caixa geral de depósitos,16:11,16:56,red,40,nunesrd,,,,,,,Areeiro,Areeiro,Areeiro,Areeiro,-9.1426278,38.741729,1
4,2018-07-05,cgd building,16:19,17:04,yellow,40,Gtony84,,,,,,,,,,Areeiro,-9.1404995,38.74123529999999,2
5,2018-07-05,cgd building,16:19,17:04,yellow,39,CptPina,,,,,,,,,,Areeiro,-9.1404995,38.74123529999999,2
6,2018-07-05,cgd building,16:19,17:04,red,40,nunesrd,,,,,,,,,,Areeiro,-9.1404995,38.74123529999999,2
7,2018-07-05,casa da moeda,17:41,18:26,red,40,nunesrd,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1423021,38.7367488,3
8,2018-07-05,casa da moeda,17:41,18:26,red,40,TinaArroyo,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1423021,38.7367488,3
9,2018-07-05,casa da moeda,17:41,18:26,red,30,BrunoMatos82,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1423021,38.7367488,3
10,2018-07-05,mundo às costas,17:42,18:27,yellow,40,Gtony84,,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.147725,38.737503,4
11,2018-07-05,mundo às costas,17:42,18:27,red,40,nunesrd,,,,1.0,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.147725,38.737503,4
12,2018-07-05,mundo às costas,17:42,18:27,red,40,TinaArroyo,,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.147725,38.737503,4
13,2018-07-05,mundo às costas,17:42,18:27,red,30,BrunoMatos82,,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.147725,38.737503,4
14,2018-07-05,jardim tristão da silva,19:34,20:19,red,37,vsamji,,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1247492,38.738384,5
15,2018-07-05,junta de freguesia do campo grande,20:38,21:23,yellow,39,CptPina,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1565967,38.7573331,6
16,2018-07-05,junta de freguesia do campo grande,20:38,21:23,yellow,39,GetCisco,,,,1.0,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1565967,38.7573331,6
17,2018-07-05,junta de freguesia do campo grande,20:38,21:23,red,40,TinaArroyo,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1565967,38.7573331,6
18,2018-07-05,junta de freguesia do campo grande,20:38,21:23,red,30,BrunoMatos82,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1565967,38.7573331,6
19,2018-08-05,alameda fonte monumental,12:10,12:55,yellow,39,pda9891,,,,,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1302989,38.7373201,7
20,2018-08-05,biblioteca palácio galveias,13:11,13:56,yellow,40,Gtony84,,,,1.0,,,Areeiro,Areeiro,Areeiro,Areeiro,-9.1438547,38.7416049,8
21,2018-08-05,d. afonso henriques,16:44,17:29,red,40,SupremeMasterPT,,1.0,,3.0,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,Areeiro,-9.1553356,38.75886550000001,9
