,username,D_centrality,team,level
0,zediogopg,0.1525,blue,40
1,SupremeMasterPT,0.11750000000000001,red,40
2,xCeefour,0.1075,yellow,36
3,simalves,0.095,blue,40
4,yont87,0.095,blue,40
5,waay2old4this,0.08,yellow,40
6,vsamji,0.0675,red,40
7,vicliv,0.065,blue,39
8,TinaArroyo,0.0625,red,40
9,nunesrd,0.0625,red,40
10,untillastone,0.0575,blue,35
11,tigermarques,0.0575,red,32
12,gracanelo123,0.045,red,32
13,thenemo15,0.045,blue,38
14,pda9891,0.0375,yellow,40
15,j0rgersn,0.035,blue,40
16,s8nm4m,0.03,red,30
17,tiagoc432,0.03,red,40
18,t0rqu3,0.0275,yellow,32
19,EduJMac,0.0275,red,40
20,Andrejuve93,0.0275,yellow,40
21,ojoaogomes,0.0275,red,40
22,play3maniac,0.025,blue,37
23,inesnnogueira,0.025,yellow,40
24,PokeNE0N,0.025,blue,40
25,PatoGotcha,0.0225,blue,40
26,pokeraitt,0.0225,red,28
27,PeterBirth,0.0225,red,40
28,joaoribeirost,0.02,yellow,35
29,naerp2606,0.02,red,40
30,sup3rfm,0.02,blue,40
31,wofraider,0.02,red,39
32,SrJMK,0.02,red,40
33,Nunex64,0.0175,red,40
34,miknu2k14,0.0175,blue,39
35,aalberto22,0.0175,yellow,34
36,Vlapower94,0.0175,red,40
37,sergioneves86,0.0175,red,37
38,TimFagg,0.0175,yellow,40
39,luissmmiguel,0.0175,blue,24
40,AzidoAzideAzid3,0.0175,red,38
41,Elfskull,0.0175,blue,39
42,DannyTeixeira87,0.0175,red,38
43,Danyuny,0.015,red,40
44,JohnnyAlbatroz,0.015,blue,40
45,lanr912,0.015,yellow,40
46,ravemir,0.015,yellow,33
47,Coolbreezexz123,0.015,yellow,40
48,Pedrokemon12,0.015,yellow,40
49,QueenAnaMar,0.015,red,40
50,Pokerrapxim,0.015,blue,40
51,Goncacorr,0.015,blue,38
52,matheushm07,0.015,red,40
53,DavidPT97,0.0125,yellow,33
54,TetraCoprs,0.0125,red,40
55,CptPina,0.0125,yellow,40
56,Chuupaacabra,0.0125,red,37
57,joaosr1989,0.0125,yellow,40
58,Naikowe,0.0125,yellow,40
59,ricardonuno01,0.0125,blue,37
60,pemimig,0.0125,yellow,37
61,King0fH34rts,0.01,yellow,38
62,Pekito10,0.01,yellow,40
63,pdpt25,0.01,yellow,35
64,naginii33,0.01,yellow,38
65,Ninnffaj,0.01,red,36
66,rubenmm1812,0.01,red,25
67,martanarizinho,0.01,blue,33
68,Gu1lhermeSlb904,0.01,red,40
69,Blankingdom,0.01,blue,40
70,pattucius,0.01,blue,35
71,GNNagash,0.01,red,40
72,Moukinho,0.01,red,36
73,s0undzzbala,0.01,blue,31
74,EmaGonzRes,0.01,blue,40
75,Zecapi314,0.01,red,40
76,RichieSanti20,0.01,yellow,31
77,Rrotiv,0.01,red,35
78,Dizoli15,0.01,blue,33
79,Stultusz,0.01,red,40
80,iTzSniCK,0.01,red,40
81,Patojonas,0.01,red,40
82,xJAndr4dex,0.01,blue,37
83,Jomitex,0.01,yellow,40
84,ARROOZ,0.01,red,40
