,row_name,col_name,value,row_player_level,row_player_team,col_player_level,col_player_team
0,100balelas,NMRPGugas,33.0,40,red,40,red
1,100balelas,simalves,7.0,40,red,40,blue
2,ARROOZ,simalves,5.0,40,red,40,blue
3,Alftrasher,simalves,9.0,40,red,40,blue
4,AmadoxStreet,simalves,3.0,31,blue,40,blue
5,Anna917Lucy,simalves,5.0,32,yellow,40,blue
6,AnyLove79,simalves,3.0,40,blue,40,blue
7,Bastelico,simalves,6.0,34,yellow,40,blue
8,Brocoly,simalves,9.0,40,red,40,blue
9,Duplicado21,simalves,15.0,40,red,40,blue
10,ElisabeteJesus,simalves,4.0,40,blue,40,blue
11,GNNagash,simalves,8.0,40,red,40,blue
12,Goncacorr,simalves,7.0,38,blue,40,blue
13,Gu1lhermeSlb904,simalves,11.0,40,red,40,blue
14,Hayrezz,simalves,6.0,36,red,40,blue
15,JoniCosta,simalves,3.0,30,red,40,blue
16,Kidojoaok,simalves,7.0,40,blue,40,blue
17,LiguTF,simalves,5.0,40,blue,40,blue
18,Maste2436,simalves,3.0,39,yellow,40,blue
19,Milkas123,simalves,9.0,40,blue,40,blue
20,Moozdzn,simalves,3.0,28,yellow,40,blue
21,NMRPGugas,simalves,9.0,40,red,40,blue
22,NunoCentral,simalves,9.0,35,blue,40,blue
23,Pim3nta89,simalves,7.0,38,red,40,blue
24,QueenAnaMar,simalves,7.0,40,red,40,blue
25,RitzMendes,simalves,8.0,40,blue,40,blue
26,SN0OP3R7,simalves,3.0,37,blue,40,blue
27,Silva10mateus,simalves,3.0,40,blue,40,blue
28,SoriedemGO,simalves,4.0,39,blue,40,blue
29,SrJMK,simalves,13.0,40,red,40,blue
30,Srtoad,simalves,9.0,39,red,40,blue
31,Ticoxande,simalves,10.0,31,yellow,40,blue
32,Tigasbento,simalves,3.0,30,red,40,blue
33,TimFagg,simalves,8.0,40,yellow,40,blue
34,Vbreezy,simalves,3.0,34,yellow,40,blue
35,XuxuDoPd,simalves,3.0,30,yellow,40,blue
36,Zetoscp,simalves,8.0,38,red,40,blue
37,d1Ruk,simalves,4.0,40,yellow,40,blue
38,miknu2k14,simalves,4.0,39,blue,40,blue
39,1pokefil,yont87,2.0,38,red,40,blue
40,Andrejuve93,yont87,2.0,40,yellow,40,blue
41,AzidoAzideAzid3,yont87,2.0,38,red,40,blue
42,BigNoobBoss,yont87,2.0,31,red,40,blue
43,Burgburs,yont87,2.0,38,yellow,40,blue
44,Cachamelo,yont87,3.0,34,red,40,blue
45,Coolbreezexz123,yont87,3.0,40,yellow,40,blue
46,CptPina,yont87,2.0,40,yellow,40,blue
47,Cruxish,yont87,6.0,39,red,40,blue
48,Edas20,yont87,2.0,38,blue,40,blue
49,EduJMac,yont87,2.0,40,red,40,blue
50,EmaGonzRes,yont87,4.0,40,blue,40,blue
51,FMBCJC,yont87,2.0,40,red,40,blue
52,GreatRock33,yont87,4.0,40,red,40,blue
53,JoaoVM07,yont87,3.0,40,yellow,40,blue
54,JoltikDQ,yont87,2.0,40,blue,40,blue
55,King0fH34rts,yont87,4.0,38,yellow,40,blue
56,MARTYMTEYXEYRA,yont87,4.0,40,yellow,40,blue
57,MightyRuca,yont87,2.0,40,blue,40,blue
58,MysthicFoxGirl,yont87,2.0,39,blue,40,blue
59,PatoGotcha,yont87,2.0,40,blue,40,blue
60,Pokyxana,yont87,2.0,37,blue,40,blue
61,Rafacoelho7,yont87,3.0,36,red,40,blue
62,SrJMK,yont87,3.0,40,red,40,blue
63,SupremeMasterPT,yont87,5.0,40,red,40,blue
64,TinaArroyo,yont87,8.0,40,red,40,blue
65,Vlapower94,yont87,2.0,40,red,40,blue
66,Zecapi314,yont87,4.0,40,red,40,blue
67,carapinha94,yont87,4.0,39,blue,40,blue
68,couves11,yont87,2.0,37,blue,40,blue
69,gracanelo123,yont87,2.0,32,red,40,blue
70,hrflopes,yont87,2.0,40,blue,40,blue
71,matheushm07,yont87,2.0,40,red,40,blue
72,miknu2k14,yont87,4.0,39,blue,40,blue
73,naerp2606,yont87,6.0,40,red,40,blue
74,nunesrd,yont87,5.0,40,red,40,blue
75,ojoaogomes,yont87,2.0,40,red,40,blue
76,tiagoc432,yont87,2.0,40,red,40,blue
77,5Mauro,waay2old4this,2.0,35,red,40,yellow
78,Crucefix,waay2old4this,2.0,34,yellow,40,yellow
79,DannyTeixeira87,waay2old4this,2.0,38,red,40,yellow
80,Danyuny,waay2old4this,4.0,40,red,40,yellow
81,Drigoide21,waay2old4this,2.0,38,red,40,yellow
82,DuartehVader,waay2old4this,2.0,40,blue,40,yellow
83,EmaGonzRes,waay2old4this,3.0,40,blue,40,yellow
84,FamelZundap,waay2old4this,2.0,34,yellow,40,yellow
85,Ginorberigio,waay2old4this,2.0,40,blue,40,yellow
86,GrimoireHollow,waay2old4this,2.0,34,yellow,40,yellow
87,IDreI,waay2old4this,2.0,40,blue,40,yellow
88,IgroIgor,waay2old4this,3.0,40,red,40,yellow
89,IsThisMajorTom,waay2old4this,2.0,40,blue,40,yellow
90,MastermEmpire,waay2old4this,2.0,34,yellow,40,yellow
91,Naikowe,waay2old4this,2.0,40,yellow,40,yellow
92,Ninnffaj,waay2old4this,3.0,36,red,40,yellow
93,PatoGotcha,waay2old4this,3.0,40,blue,40,yellow
94,PeterBirth,waay2old4this,2.0,40,red,40,yellow
95,PokeCorisco,waay2old4this,3.0,40,yellow,40,yellow
96,PokeNE0N,waay2old4this,2.0,40,blue,40,yellow
97,SupremeMasterPT,waay2old4this,5.0,40,red,40,yellow
98,Tandorina,waay2old4this,3.0,37,red,40,yellow
99,Tchukay,waay2old4this,2.0,36,yellow,40,yellow
100,TiagoKenpachi,waay2old4this,3.0,33,red,40,yellow
101,Tiagopitukinha2,waay2old4this,2.0,38,yellow,40,yellow
102,TinaArroyo,waay2old4this,5.0,40,red,40,yellow
103,WhiteU,waay2old4this,2.0,37,yellow,40,yellow
104,adiogopaiva,waay2old4this,2.0,40,red,40,yellow
105,bumboclausto,waay2old4this,2.0,40,blue,40,yellow
