,lat,log,location,string
0,-9.26524,38.755561,estação queluz-monte abraão,-9.2652438.755561
1,-9.262211,38.763763,depósito,-9.26221138.763763
2,-9.259439,38.75616,árvore da paz e do amor,-9.25943938.75616
3,-9.258433,38.751134,monument of maria i,-9.25843338.751134
4,-9.256981,38.758743,estação queluz-belas,-9.25698138.758743
5,-9.253748,38.75555900000001,igreja queluz,-9.25374838.75555900000001
6,-9.248804,38.758279,slide ii infantil,-9.24880438.758279
7,-9.248419,38.756589,amadora squares,-9.24841938.756589
8,-9.247685,38.756959,cinema lido,-9.24768538.756959
9,-9.244864,38.757033,garden with squares,-9.24486438.757033
10,-9.243682000000002,38.755629,bons sonhos - grafitti,-9.24368200000000238.755629
11,-9.242905,38.760593,praça ernesto melo antunes,-9.24290538.760593
12,-9.240688,38.755199,comandos watertank,-9.24068838.755199
13,-9.239261,38.757237,igreja,-9.23926138.757237
14,-9.236782,38.748404,aviador do borel,-9.23678238.748404
15,-9.236369,38.7601,amadora,-9.23636938.7601
16,-9.236052,38.75932,delfim guimaraes,-9.23605238.75932
17,-9.235318,38.756597,space rocket,-9.23531838.756597
18,-9.234337,38.76065,parque central,-9.23433738.76065
19,-9.234127,38.749337,human evolution,-9.23412738.749337
20,-9.233858,38.7598,rocket,-9.23385838.7598
21,-9.23373,38.75275,deusa,-9.2337338.75275
22,-9.233544,38.754252,monumento ao bombeiro voluntario da amadora,-9.23354438.754252
23,-9.233039,38.742601,árvore continente,-9.23303938.742601
24,-9.231666,38.784166,menir ic16,-9.23166638.784166
25,-9.230645,38.746902,clean world zone,-9.23064538.746902
26,-9.230467,38.751458,reboleira church,-9.23046738.751458
27,-9.230428,38.767724,casal de são brás,-9.23042838.767724
28,-9.229951,38.763712,estrada da serra da mira,-9.22995138.763712
29,-9.22941,38.75998,rotunda do parque aventura,-9.2294138.75998
30,-9.229047900000001,38.75082570000001,falagueira/reboleira,-9.22904790000000138.75082570000001
31,-9.228708,38.760177,claraboia da falagueira,-9.22870838.760177
32,-9.228677,38.764045,rooster,-9.22867738.764045
33,-9.228333,38.760212,pastelaria nova falagueira,-9.22833338.760212
34,-9.226901,38.746306,atalaia playground,-9.22690138.746306
35,-9.226785,38.7594,capela da falagueira,-9.22678538.7594
36,-9.226167,38.752314,rotary clube da amadora,-9.22616738.752314
37,-9.226162,38.75813400000001,estrada da falagueira,-9.22616238.75813400000001
38,-9.225676,38.755773,parque da turma da mónica,-9.22567638.755773
39,-9.223341,38.750797,reboleira train station,-9.22334138.750797
40,-9.222123,38.736043,windmill alfragide,-9.22212338.736043
41,-9.220377,38.7462,nosso senhor redentor,-9.22037738.7462
42,-9.219692,38.752003,sara nossa terra,-9.21969238.752003
43,-9.219268,38.74187,mary j. blige,-9.21926838.74187
44,-9.21879,38.754086,mural ba venda nova,-9.2187938.754086
45,-9.218643,38.745924,cine-teatro d joao v,-9.21864338.745924
46,-9.218322,38.728158,dinossauros - centro comercial alegro de alfragide,-9.21832238.728158
47,-9.218281,38.73982,igreja divina misericórdia,-9.21828138.73982
48,-9.217938,38.756187,mural dos comunas - venda nova,-9.21793838.756187
49,-9.217558,38.754645,rua joão de deus,-9.21755838.754645
50,-9.216741,38.741139,graffiti damaia,-9.21674138.741139
51,-9.216316,38.73296,alfragide,-9.21631638.73296
52,-9.215657,38.766448,igreja da brandoa,-9.21565738.766448
53,-9.2153488903696,38.76622565,igreja (amadora),-9.215348890369638.76622565
54,-9.214588,38.747619,santa cruz da damaia,-9.21458838.747619
55,-9.213616,38.74214,aldeia dos estrunfes,-9.21361638.74214
56,-9.21346,38.734918,park abdominals,-9.2134638.734918
57,-9.212722,38.753476,estação correios da venda nova,-9.21272238.753476
58,-9.210652,38.752655,pct joão anastácio rosa,-9.21065238.752655
59,-9.210445,38.760707,green eye,-9.21044538.760707
60,-9.210138,38.741028,mercado buraca da fruta,-9.21013838.741028
61,-9.20903,38.753029,rua elias garcia,-9.2090338.753029
62,-9.208478,38.765748,parque infantil abel salazar,-9.20847838.765748
63,-9.208197,38.758856,giant octopus,-9.20819738.758856
64,-9.207412,38.758817,mural do hulk,-9.20741238.758817
65,-9.2068487405777,38.7448959665969,aranha,-9.206848740577738.7448959665969
66,-9.20673,38.763562,mulher,-9.2067338.763562
67,-9.206279,38.74983,grande fófó,-9.20627938.74983
68,-9.205767,38.76325900000001,igreja de alfornelos,-9.20576738.76325900000001
69,-9.205526,38.752467,jardim comunitario,-9.20552638.752467
70,-9.203683,38.749108,parque silva porto (mata de benfica),-9.20368338.749108
71,-9.20325,38.7423,fonte antiga,-9.2032538.7423
72,-9.203001,38.759482,muscle car,-9.20300138.759482
73,-9.201863,38.749255,madalena iglésia,-9.20186338.749255
74,-9.200576,38.763559,mailstation pontinha,-9.20057638.763559
75,-9.199832,38.744587,estação benfica,-9.19983238.744587
76,-9.198224,38.763722,parque bento carraça,-9.19822438.763722
77,-9.198086,38.745693,fidelidade,-9.19808638.745693
78,-9.197572,38.748631,junta de freguesia de benfica,-9.19757238.748631
79,-9.196674,38.752593,porta para a modernidade,-9.19667438.752593
80,-9.196011,38.753437,estátua de artigas - fundador,-9.19601138.753437
81,-9.191789,38.750862,creepy bear,-9.19178938.750862
82,-9.191224,38.748321,vidrão graffiti,-9.19122438.748321
83,-9.1902895,38.7601811,cruz,-9.190289538.7601811
84,-9.1895626,38.7604405,mural do colégio militar,-9.189562638.7604405
85,-9.189511,38.746683,fitness park (califa),-9.18951138.746683
86,-9.1894018,38.7616012,convento de santa teresa de jesus,-9.189401838.7616012
87,-9.188218,38.753304,fonte do colombo,-9.18821838.753304
88,-9.184927,38.746049,palhaço,-9.18492738.746049
89,-9.183077,38.749183,pirâmide,-9.18307738.749183
90,-9.183056,38.753141,king eusébio's tribute,-9.18305638.753141
91,-9.1829316,38.7626163,mural da luz,-9.182931638.7626163
92,-9.18052495525958,38.8116841,templo de shiva,-9.1805249552595838.8116841
93,-9.1801811,38.7587501,mosaico do convento,-9.180181138.7587501
94,-9.179572,38.7439,mercado de s. domingos de benfica,-9.17957238.7439
95,-9.179127,38.748035,a entrada secreta,-9.17912738.748035
96,-9.178202,38.756342,fitness park são domingos de benfica,-9.17820238.756342
97,-9.1775042,38.7612693,estrutura em pedra,-9.177504238.7612693
98,-9.17714,38.75298400000001,parque bensaúde - mulher sentada,-9.1771438.75298400000001
99,-9.176745,38.748436,waterfall,-9.17674538.748436
100,-9.1764,38.7436,silvestre pinheiro,-9.176438.7436
101,-9.1757608,38.7695114,templo radha krishna,-9.175760838.7695114
102,-9.1737009,38.7691768,gandhi's path,-9.173700938.7691768
103,-9.173564,38.743012,chafariz trav. águas boas,-9.17356438.743012
104,-9.169782,38.745259,sereia,-9.16978238.745259
105,-9.169533,38.750279600000006,centro ismaili,-9.16953338.750279600000006
106,-9.1690928,38.7368846,hill spider,-9.169092838.7368846
107,-9.169017,38.744896,teatro thalia,-9.16901738.744896
108,-9.168813900000002,38.7593535,ldis?,-9.16881390000000238.7593535
109,-9.1685537,38.7602466,the fountain,-9.168553738.7602466
110,-9.168549,38.741987,azulejos - the deer,-9.16854938.741987
111,-9.1677875,38.76588710000001,quiks graffitti,-9.167787538.76588710000001
112,-9.167727,38.740108,escultura sete rios,-9.16772738.740108
113,-9.1675411,38.8302749,fonte do largo 4 de outubro,-9.167541138.8302749
114,-9.167477,38.743506,igreja do zoo,-9.16747738.743506
115,-9.1669819,38.75975510000001,bem vindo a telheiras - graffiti,-9.166981938.75975510000001
116,-9.166175099999998,38.736554,planta vigia,-9.16617509999999838.736554
117,-9.1653485,38.7605791,bordalo ii,-9.165348538.7605791
118,-9.1649461,38.77468070000001,paróquia de s. joão baptista do lumiar,-9.164946138.77468070000001
119,-9.1646887,38.769938,construction cow,-9.164688738.769938
120,-9.1643356,38.7645507,instituto ricardo jorge,-9.164335638.7645507
121,-9.162574,38.751345,rugby state,-9.16257438.751345
122,-9.1624882,38.7529849,jogador de futebol,-9.162488238.7529849
123,-9.1622854,38.7800003,santa clara gate,-9.162285438.7800003
124,-9.1622058,38.8815723,fonte de casainhos,-9.162205838.8815723
125,-9.161900099999999,38.819862,fonte de frielas,-9.16190009999999938.819862
126,-9.1614696,38.74693660000001,instituto de medicina molecular,-9.161469638.74693660000001
127,-9.1613842,38.7819574,cross view,-9.161384238.7819574
128,-9.1613416,38.801136799999995,parque infantil major rosa bastos,-9.161341638.801136799999995
129,-9.1611567,38.73830170000001,bell tower,-9.161156738.73830170000001
130,-9.1606242,38.7490721,estátua egas moniz,-9.160624238.7490721
131,-9.1603853,38.75075089999999,universitas,-9.160385338.75075089999999
132,-9.159977,38.7642641,smiley,-9.15997738.7642641
133,-9.1592137,38.7602997,sporting cp stadium,-9.159213738.7602997
134,-9.1591579,38.7452244,pcp,-9.159157938.7452244
135,-9.1588951,38.77020570000001,quinta dos lilases - mansão,-9.158895138.77020570000001
136,-9.1585732,38.7697707,ramp,-9.158573238.7697707
137,-9.1585421,38.73543,mesquita de lisboa,-9.158542138.73543
138,-9.1583215,38.71473870000001,woman on water statue,-9.158321538.71473870000001
139,-9.1582514,38.7681479,poeta silva tavares,-9.158251438.7681479
140,-9.1581086,38.75977260000001,nos - p2,-9.158108638.75977260000001
141,-9.1580854,38.733099,tribunal cível,-9.158085438.733099
142,-9.1574586,38.7562312,globo fcul,-9.157458638.7562312
143,-9.1567031,38.7568483,building c8,-9.156703138.7568483
144,-9.1565967,38.7573331,junta de freguesia do campo grande,-9.156596738.7573331
145,-9.156577699999998,38.7718452,fallen leafs,-9.15657769999999838.7718452
146,-9.1564704,38.7673114,tobis,-9.156470438.7673114
147,-9.15632660344899,38.83448875,loureshopping,-9.1563266034489938.83448875
148,-9.155955300000002,38.7372914,estátua de calouste gulbenkian,-9.15595530000000238.7372914
149,-9.1554677,38.75925220000001,military draw,-9.155467738.75925220000001
150,-9.1553356,38.75886550000001,d. afonso henriques,-9.155335638.75886550000001
151,-9.1551565,38.75931920000001,meal conception,-9.155156538.75931920000001
152,-9.1548825,38.7701723,water guardian,-9.154882538.7701723
153,-9.1546119,38.7381223,old tile,-9.154611938.7381223
154,-9.15451,38.7319533,water pillars,-9.1545138.7319533
155,-9.153717,38.743841,sonha vidrão,-9.15371738.743841
156,-9.1535275,38.7495138,iscte porta norte,-9.153527538.7495138
157,-9.153368,38.7386403,deconstructed statue @ gulbenkian gardens,-9.15336838.7386403
158,-9.153359,38.7683487,quinta das conchas - mansão,-9.15335938.7683487
159,-9.1533021,38.7477441,iscte,-9.153302138.7477441
160,-9.1532788,38.7305891,erotic statue,-9.153278838.7305891
161,-9.1528446,38.7349362,the gate,-9.152844638.7349362
162,-9.1526351,38.7262892,parque desportivo,-9.152635138.7262892
163,-9.1522902,38.7365063,conto de fadas,-9.152290238.7365063
164,-9.1521775,38.75187620000001,os quatro escritores,-9.152177538.75187620000001
165,-9.1514704,38.73244129999999,igreja de são sebastião da pedreira,-9.151470438.73244129999999
166,-9.1512955,38.7477722,av. forças armadas mosaic,-9.151295538.7477722
167,-9.1512347,38.7783526,parque oeste wave garden,-9.151234738.7783526
168,-9.150831,38.7547423,entrada do clube de jovens,-9.15083138.7547423
169,-9.1506512,38.7446569,mapa da memória inicial,-9.150651238.7446569
170,-9.1504998,38.74035470000001,capitão salgueiro maia,-9.150499838.74035470000001
171,-9.1502796,38.75183079999999,jardim do campo grande,-9.150279638.75183079999999
172,-9.1498399,38.7772486,estátua parque oeste,-9.149839938.7772486
173,-9.1496065,38.7359678,no head statue,-9.149606538.7359678
174,-9.1495299,38.7506099,actor antonio pedro (campo grande),-9.149529938.7506099
175,-9.1490513,38.7602823,blue wall,-9.149051338.7602823
176,-9.1490171,38.7410828,entrada cgd,-9.149017138.7410828
177,-9.1489095,38.7562646,playground on the wall,-9.148909538.7562646
178,-9.1484524,38.760501,jules of mates,-9.148452438.760501
179,-9.147725,38.737503,mundo às costas,-9.14772538.737503
180,-9.1463391,38.7418856,jardim marquês de marialva,-9.146339138.7418856
181,-9.1458191,38.7452115,wall with scenic mural,-9.145819138.7452115
182,-9.145812800000002,38.7362801,edifício garrigues,-9.14581280000000238.7362801
183,-9.1458057,38.7316715,saldanha archway,-9.145805738.7316715
184,-9.1453658,38.7321904,movie men,-9.145365838.7321904
