,username,level,team
0,SupremeMasterPT,40,red
1,CptPina,40,yellow
2,nunesrd,40,red
3,Gtony84,40,yellow
4,TinaArroyo,40,red
5,BrunoMatos82,34,red
6,vsamji,40,red
7,pda9891,40,yellow
8,naerp2606,40,red
9,Zecaxi,40,blue
10,DannyTeixeira87,38,red
11,JohnFire1,35,red
12,Blankingdom,40,blue
13,play3maniac,37,blue
14,DuartehVader,40,blue
15,MaraujoAndre,37,yellow
16,adiogopaiva,40,red
17,EduJMac,40,red
18,Nunex64,40,red
19,Pekito10,40,yellow
20,SeIIene,40,blue
21,frenzy73,40,red
22,ojoaogomes,40,red
23,jobesanitas,40,blue
24,loia16,33,red
25,GrimoireHollow,34,yellow
26,miknu2k14,39,blue
27,Naikowe,40,yellow
28,MARTYMTEYXEYRA,40,yellow
29,JMota1994,40,blue
30,Phabiolous,40,blue
31,Elfskull,39,blue
32,Simpletongui,39,blue
33,Tandorina,37,red
34,FamelZundap,34,yellow
35,Vlapower94,40,red
36,FMBCJC,40,red
37,Chentobi,39,blue
38,ShyeraL,38,blue
39,PokeAcoriano,39,yellow
40,RicardoLeeXc,40,red
41,PrabhasPaul,40,red
42,SilverSilverSil,40,yellow
43,joaosr1989,40,yellow
44,waay2old4this,40,yellow
45,Tifimeco,40,yellow
46,PeterBirth,40,red
47,Kiooss,40,yellow
48,TetraCoprs,40,red
49,GreatRock33,40,red
50,kabonga82,40,blue
51,j0rgersn,40,blue
52,gracanelo123,32,red
53,BrunoPatricio,40,red
54,Anuchinha,40,blue
55,joadiaf,36,yellow
56,King0fH34rts,38,yellow
57,pattucius,35,blue
58,lanr912,40,yellow
59,MegaSharkG0,40,blue
60,Wizardmeister,37,yellow
61,BraaveHeaart,40,red
62,TEMPLUSMASTER,40,yellow
63,MightyRuca,40,blue
64,RicardoSanptlx,40,blue
65,hrflopes,40,blue
66,JoltikDQ,40,blue
67,PokeNE0N,40,blue
68,poketabom,35,yellow
69,AshNestum,40,blue
70,Pedroalvim13,32,yellow
71,WhiteU,37,yellow
72,IgroIgor,40,red
73,Bentoxvii,34,blue
74,Mizehza,40,red
75,fli0dhais,36,blue
76,ricardoiraq,40,blue
77,bodabodinha,39,yellow
78,Pokerrapxim,40,blue
79,Crucefix,34,yellow
80,Ninnffaj,36,red
81,pokeraitt,28,red
82,DiogoQ16,40,yellow
83,CilioG0,40,blue
84,bumboclausto,40,blue
85,PatoGotcha,40,blue
86,Rafadomingues96,40,blue
87,Marcio699,39,yellow
88,m1ndHackz,30,red
89,TMpolicarpo,34,yellow
90,Jomitex,40,yellow
91,Coolbreezexz123,40,yellow
92,xCeefour,36,yellow
93,LuckyGuest,34,yellow
94,AzidoAzideAzid3,38,red
95,Pachiren,40,blue
96,SaraSCZ,40,blue
97,Rafadas,39,blue
98,Tchukay,36,yellow
99,felizardopt,40,yellow
100,Samaheras,40,blue
101,Danyuny,40,red
102,didas29,36,red
103,pgms,37,red
104,TiagoKenpachi,33,red
105,Callofkthulu,33,yellow
106,MMartins7,32,red
107,ricardonuno01,37,blue
108,Jotsifo,37,red
109,pdpt25,35,yellow
110,Moukinho,36,red
111,jalavais,34,red
112,Nuxo,40,yellow
113,SrJMK,40,red
114,balianx,39,red
115,Burgburs,38,yellow
116,OrnitorrinkoXD,36,red
117,ARROOZ,40,red
118,JohnyBigodes,34,blue
119,EmaGonzRes,40,blue
120,PokeCorisco,40,yellow
121,luissmmiguel,24,blue
122,NunoCentral,35,blue
123,IsThisMajorTom,40,blue
124,tigermarques,32,red
125,PetherPT,34,blue
126,eumininel,32,yellow
127,Miguelvidex,32,red
128,PedroEvangelho,32,blue
129,Fenouil79,35,blue
130,Alextreiner1227,37,blue
131,btgds,31,blue
132,Perakori,37,yellow
133,Bosgas,36,red
134,IDreI,40,blue
135,thenemo15,38,blue
136,Patojonas,40,red
137,AlexandreGil,34,blue
138,5Mauro,35,red
139,J121warrior,38,yellow
140,DavidsNF,38,yellow
141,pedrofcsousa,33,yellow
142,PedroRib09,23,blue
143,JoaoVM07,40,yellow
144,Tiagopitukinha2,38,yellow
145,mavmgm95,34,red
146,quinete7,36,blue
147,RicardoRibeir0,40,red
148,FrancisFzz,33,red
149,hugomartins11,28,blue
150,diverbea,40,blue
151,Ginorberigio,40,blue
152,tiagoc432,40,red
153,JohnnyAlbatroz,40,blue
154,Dizoli15,33,blue
155,MrKunami,33,yellow
156,DonnieDrakoEU,30,blue
157,pedroMFM,25,blue
158,Zecapi314,40,red
159,lthejustice,36,blue
160,migueldajuda,38,blue
161,matheushm07,40,red
162,skull5492,40,blue
163,Drigoide21,38,red
164,carapinha94,39,blue
165,MastermEmpire,34,yellow
166,Etorini,31,yellow
167,PACR2,32,red
168,lfdamo,36,blue
169,sup3rfm,40,blue
170,iTzSniCK,40,red
171,couves11,37,blue
172,JMRC1992,35,yellow
173,Brunaldo22,36,yellow
174,untillastone,35,blue
175,Sn1tram,37,yellow
176,PCaeiros,40,red
177,RocketSummoner,33,yellow
178,s0undzzbala,31,blue
179,Cryogenium,31,red
180,gymboy777,40,yellow
181,XuxuDoPd,30,yellow
182,Rafacoelho7,36,red
183,s8nm4m,30,red
184,brurib606,40,blue
185,Arcadefirego,34,red
186,itsausername,28,red
187,Pedrolebest,34,yellow
188,CRAZYPLAYY,31,blue
189,MANELRIBEIRO,36,blue
190,CapitaoAlatrist,30,yellow
191,HunterStive,29,blue
192,Silva10mateus,40,blue
193,Cruxish,39,red
194,Morabidino23,40,blue
195,TNeckes,30,red
196,yont87,40,blue
197,oMarafade,29,yellow
198,napalm4dw,36,blue
199,SmilerPortugal,40,blue
200,Edas20,38,blue
201,micaandrade2902,33,blue
202,dishadow99,28,blue
203,Brooklyhn,34,red
204,gongassauros,35,blue
205,LeTicks,34,blue
206,1pokefil,38,red
207,MysthicFoxGirl,39,blue
208,Cachamelo,34,red
209,BigNoobBoss,31,red
210,mnlr89,38,yellow
211,PabloChappo,29,red
212,Mgmartinss,39,blue
213,Gu1lhermeSlb904,40,red
214,rjsm87,40,yellow
215,Alcobia610,40,red
216,Johnydi92,33,blue
217,DudaFCM7,37,red
218,bernasmr,34,red
219,fbernardo,35,blue
220,Tugateso,35,blue
221,Inessofia99,33,red
222,NunoTheMaster,40,red
223,NunoReix,34,blue
224,pemimig,37,yellow
225,Ppsalves,30,blue
226,julio2341,30,red
227,Jmcerq,33,blue
228,anajdev,34,blue
229,OrangeOlympus,36,yellow
230,MTBacano,33,red
231,aalberto22,34,yellow
232,cacanacueca,30,yellow
233,RandomPerpect,33,red
234,PantufaMaster,33,yellow
235,jonhylopes1999,31,red
236,Nir1972,40,yellow
237,Sttikky,39,blue
238,DurumakiPedruto,35,blue
239,inesnnogueira,40,yellow
240,fcmatias,36,blue
241,Pokyxana,37,blue
242,APipa2102,35,red
243,Milkas123,40,blue
244,8hrGymIsMaxCoin,35,red
245,nunofuckinsousa,31,blue
246,oMestreMonteiro,27,blue
247,Nepia98,40,blue
248,Andrejuve93,40,yellow
249,Daniloab,38,blue
250,jsantos,40,blue
251,Cooper96,36,blue
252,Tipassos,37,yellow
253,brokkendoll,30,yellow
254,Zibs2,33,blue
255,JoeOfTheGames,30,blue
256,LuckKrlosPs,40,yellow
257,zediogopg,40,blue
258,RicardoJMF91,31,yellow
259,FRAGZ,35,red
260,bela154,38,yellow
261,AzarAChegar,40,red
262,Filipemaiarosa,40,red
263,tascv,37,red
264,Zakiusfarinha,38,red
265,LeCaesar,40,red
266,Do0msdayy,39,yellow
267,Castanheira1985,40,red
268,jmst83,40,blue
269,rei99999,28,red
270,RestDragon1,27,blue
271,vicliv,39,blue
272,vaitupt,39,red
273,Giant29,40,red
274,Galaticvs,37,red
275,Hayrezz,36,red
276,xJAndr4dex,37,blue
277,FakadasMC,33,red
278,NJS76,39,yellow
279,danielasm4,31,blue
280,Kyzouki,40,blue
281,Gcardoso01,30,blue
282,R0das31,33,blue
283,Pcerceos,35,blue
284,hyordanov,34,yellow
285,Santoscjp,37,blue
286,JOR1967,40,yellow
287,onericardo,34,red
288,LigmaMarbles,34,yellow
289,MichelJ23,38,blue
290,d1Ruk,40,yellow
291,martanarizinho,33,blue
292,Rrotiv,35,red
293,RichieSanti20,31,yellow
294,SinTomas,37,red
295,Darksquallleon,27,blue
296,MisterManding0,40,yellow
297,jdavidgil,40,red
298,arjarnrb,40,yellow
299,CaioSAC,40,yellow
300,Kajava050,31,blue
301,Atoniuu,30,yellow
302,nunosilva182,32,yellow
303,verbal1971,38,red
304,Seeker06,35,red
305,GNNagash,40,red
306,Riimiranda,35,blue
307,Whatimblack,31,blue
308,Vcarrega,40,blue
309,baggytrousers81,37,blue
310,magaleska,40,blue
311,porodkaito,36,blue
312,Ancestral1993,37,red
313,Exotnaf,39,red
314,martinero,27,blue
315,Gowrilaz,32,blue
316,PMPM74,38,blue
317,Pingox1,30,yellow
318,Bilrazard,34,red
319,Southking1906,24,yellow
320,Hydilus,25,red
321,L0rdOfEv1L,40,blue
322,Gama1134,26,red
323,rubenmm1812,25,red
324,jpcc00,36,red
325,shlanshan8,33,blue
326,Maste2436,39,yellow
327,Bastelico,34,yellow
328,Kidojoaok,40,blue
329,Challenger1602,40,red
330,Gagaspires,38,yellow
331,danielscgo,40,red
332,Diogogomes90,37,red
333,peterrareosa,38,yellow
334,Duplicado21,40,red
335,QueenAnaMar,40,red
336,ManteigaDeLula,36,blue
337,Goncacorr,38,blue
338,Zlordpokemonb,37,red
339,NMRPGugas,40,red
340,Ticoxande,31,yellow
341,Brocoly,40,red
342,Stultusz,40,red
343,ElisabeteJesus,40,blue
344,catajesus,40,blue
345,RitzMendes,40,blue
346,Anna917Lucy,32,yellow
347,Alftrasher,40,red
348,SoriedemGO,39,blue
349,AnyLove79,40,blue
350,SN0OP3R7,37,blue
351,simalves,40,blue
352,TimFagg,40,yellow
353,Zetoscp,38,red
354,AmadoxStreet,31,blue
355,100balelas,40,red
356,LiguTF,40,blue
357,pjts,37,yellow
358,SilverWolfPTPT,36,red
359,Chuupaacabra,37,red
360,Rubenford,40,blue
361,DavidPT97,33,yellow
362,Lfrjesus,40,blue
363,Moozdzn,28,yellow
364,Rodrigoats,30,blue
365,LXLocco,39,blue
366,ravemir,33,yellow
367,ParasiteEve,40,red
368,Srtoad,39,red
369,Pim3nta89,38,red
370,sergioneves86,37,red
371,D3lphos,36,blue
372,Vbreezy,34,yellow
373,Costafeller,36,red
374,JoniCosta,30,red
375,t0rqu3,32,yellow
376,ENDraganerys,33,yellow
377,Augustus61,39,red
378,Provedor07,29,red
379,Tigasbento,30,red
380,Perseuh,36,yellow
381,Rfa18,34,yellow
382,leFux,34,red
383,Pokericeira,40,red
384,fatimagraca,34,red
385,Aifosofiapesto,31,red
386,joaoribeirost,35,yellow
387,HollowSpawn,39,red
388,Pedrokemon12,40,yellow
389,Invihz,40,red
390,nmvssmarques,31,red
391,JohnLoc75,40,red
392,wofraider,39,red
393,PipaOndas,37,red
394,dash13062,38,blue
395,RuiCaneira,40,blue
396,naginii33,38,yellow
397,RedAngel1904,31,red
398,catygalhanas,35,red
399,AndreNunes1992,35,red
400,NerfertitiiGirl,35,yellow
